Business Capability in LeanIX,Hierarchy,Mapped  Level 1 Capability,mapped to Lifesciences Capabilities Level 3
Executive Search,Talent Acquisition / Executive Search,Human Resources,Human Resources / Talent Acquisition / Recruiting
Job Posting Management,Talent Acquisition / Job Posting Management,Human Resources,Human Resources / Talent Acquisition / Recruitment Marketing
Recruitment Marketing,Talent Acquisition / Recruitment Marketing,Human Resources,Human Resources / Talent Acquisition / Recruitment Marketing
Talent Sourcing,Talent Acquisition / Talent Sourcing,Human Resources,Human Resources / Talent Acquisition / Recruiting
Talent Development,Talent Development,Human Resources,Human Resources / Talent Development
Career Development,Talent Development / Career Development,Human Resources,Human Resources / Talent Development / Career Development
Leadership Development,Talent Development / Leadership Development,Human Resources,Human Resources / Talent Development / Leadership Development
Learning Management,Talent Development / Learning Management,Human Resources,Human Resources / Talent Development / Learning Management
Performance Management,Talent Development / Performance Management,Human Resources,Human Resources / Talent Development / Performance Management
Succession Planning,Talent Development / Succession Planning,Human Resources,Human Resources / Talent Development / Succession Planning
Tax,Tax,Finance,Finance / Tax Management
Corporate Tax,Tax / Corporate Tax,Finance,Finance / Tax Management / Corporate Income Tax
Global Tax,Tax / Global Tax,Finance,Finance / Tax Management / Tax Reporting
Indirect Tax,Tax / Indirect Tax,Finance,Finance / Tax Management / Indirect Tax
International Tax,Tax / International Tax,Finance,Finance / Tax Management / Corporate Income Tax
Property Tax,Tax / Property Tax,Finance,Finance / Tax Management / Property Tax
Tax Compliance,Tax / Tax Compliance,Finance,Finance / Tax Management / Tax Compliance
Tax Planning,Tax / Tax Planning,Finance,Finance / Tax Management / Tax Planning
Transfer Pricing,Tax / Transfer Pricing,Finance,Finance / Tax Management / Transfer Pricing
Touchpoints & Collaborations,Touchpoints & Collaborations,Enterprise Strategy,Enterprise Strategy / Business Process Management
Transactional Touchpoints,Touchpoints & Collaborations / Transactional Touchpoints,Enterprise Strategy,Enterprise Strategy / Business Process Management
Treasury Management,Treasury Management,Finance,Finance / Treasury Management
Bank Relationship Management,Treasury Management / Bank Relationship Management,Finance,Finance / Treasury Management / Bank Account Management
Cash Management,Treasury Management / Cash Management,Finance,Finance / Treasury Management / Cash Management
Debt Management,Treasury Management / Debt Management,Finance,Finance / Treasury Management / Debt and Investment Management
Foreign Exchange Management,Treasury Management / Foreign Exchange Management,Finance,Finance / Treasury Management / Foreign Exchange Management
Investment Management,Treasury Management / Investment Management,Finance,Finance / Treasury Management / Debt and Investment Management
Liquidity Management,Treasury Management / Liquidity Management,Finance,Finance / Treasury Management / Cash Management
Vendor Management,Vendor Management,Sourcing and Procurement,Sourcing and Procurement / Supplier Management
Vendor Onboarding,Vendor Onboarding,Sourcing and Procurement,Sourcing and Procurement / Supplier Management
~Biostatistics and Data Management (BDM),~Biostatistics and Data Management (BDM),R&D and Engineering,R&D and Engineering / Clinical Research
Adaptive Design,~Biostatistics and Data Management (BDM) / Adaptive Design,R&D and Engineering,R&D and Engineering / Clinical Research / Biostatistics
BDM Aggregate PV Reporting,~Biostatistics and Data Management (BDM) / BDM Aggregate PV Reporting,R&D and Engineering,R&D and Engineering / Clinical Research / Biostatistics
BDM Audit Management,~Biostatistics and Data Management (BDM) / BDM Audit Management,R&D and Engineering,R&D and Engineering / Clinical Research / Data Management
BDM Compliance Management,~Biostatistics and Data Management (BDM) / BDM Compliance Management,R&D and Engineering,R&D and Engineering / Clinical Research / Data Management
BDM Education and Learning,~Biostatistics and Data Management (BDM) / BDM Education and Learning,R&D and Engineering,R&D and Engineering / Clinical Research / Training
BDM Evidence Generation Support,~Biostatistics and Data Management (BDM) / BDM Evidence Generation Support,R&D and Engineering,R&D and Engineering / Clinical Research / Evidence Generation
BDM Global Standards,~Biostatistics and Data Management (BDM) / BDM Global Standards,R&D and Engineering,R&D and Engineering / Clinical Research / Standards
BDM Outsourcing Management,~Biostatistics and Data Management (BDM) / BDM Outsourcing Management,R&D and Engineering,R&D and Engineering / Clinical Research / Outsourcing
BDM PV Signal Detection,~Biostatistics and Data Management (BDM) / BDM PV Signal Detection,R&D and Engineering,R&D and Engineering / Pharmacovigilance / Signal Detection
BDM Quality Management,~Biostatistics and Data Management (BDM) / BDM Quality Management,R&D and Engineering,R&D and Engineering / Clinical Research / Quality Management
BDM Resource Management,~Biostatistics and Data Management (BDM) / BDM Resource Management,R&D and Engineering,R&D and Engineering / Clinical Research / Resource Management
Biostatistics Consultancy,~Biostatistics and Data Management (BDM) / Biostatistics Consultancy,R&D and Engineering,R&D and Engineering / Clinical Research / Biostatistics
Biostatistics Input into Clinical Development Plan,~Biostatistics and Data Management (BDM) / Biostatistics Input into Clinical Development Plan,R&D and Engineering,R&D and Engineering / Clinical Research / Biostatistics
Biostatistics Input into Protocol Development,~Biostatistics and Data Management (BDM) / Biostatistics Input into Protocol Development,R&D and Engineering,R&D and Engineering / Clinical Research / Biostatistics
Biostatistics Input into Regulatory Submission,~Biostatistics and Data Management (BDM) / Biostatistics Input into Regulatory Submission,R&D and Engineering,R&D and Engineering / Clinical Research / Biostatistics
Biostatistics Input into SAP,~Biostatistics and Data Management (BDM) / Biostatistics Input into SAP,R&D and Engineering,R&D and Engineering / Clinical Research / Biostatistics
Biostatistics PK Reporting,~Biostatistics and Data Management (BDM) / Biostatistics PK Reporting,R&D and Engineering,R&D and Engineering / Clinical Research / Biostatistics
Biostatistics Programming and Reporting,~Biostatistics and Data Management (BDM) / Biostatistics Programming and Reporting,R&D and Engineering,R&D and Engineering / Clinical Research / Biostatistics
Biostatistics Sample Size Calculation,~Biostatistics and Data Management (BDM) / Biostatistics Sample Size Calculation,R&D and Engineering,R&D and Engineering / Clinical Research / Biostatistics
Biostatistics Support for Protocol Amendments,~Biostatistics and Data Management (BDM) / Biostatistics Support for Protocol Amendments,R&D and Engineering,R&D and Engineering / Clinical Research / Biostatistics
Clinical Data Base Design,~Biostatistics and Data Management (BDM) / Clinical Data Base Design,R&D and Engineering,R&D and Engineering / Clinical Research / Data Management
Clinical Data Cleaning,~Biostatistics and Data Management (BDM) / Clinical Data Cleaning,R&D and Engineering,R&D and Engineering / Clinical Research / Data Management
Clinical Data Documentation,~Biostatistics and Data Management (BDM) / Clinical Data Documentation,R&D and Engineering,R&D and Engineering / Clinical Research / Data Management
Clinical Data Integration,~Biostatistics and Data Management (BDM) / Clinical Data Integration,R&D and Engineering,R&D and Engineering / Clinical Research / Data Management
Clinical Data Processing,~Biostatistics and Data Management (BDM) / Clinical Data Processing,R&D and Engineering,R&D and Engineering / Clinical Research / Data Management
Clinical Data Quality Control,~Biostatistics and Data Management (BDM) / Clinical Data Quality Control,R&D and Engineering,R&D and Engineering / Clinical Research / Data Management
Clinical Data Reconciliation,~Biostatistics and Data Management (BDM) / Clinical Data Reconciliation,R&D and Engineering,R&D and Engineering / Clinical Research / Data Management
Clinical Data Review,~Biostatistics and Data Management (BDM) / Clinical Data Review,R&D and Engineering,R&D and Engineering / Clinical Research / Data Management
Clinical Data Standardization,~Biostatistics and Data Management (BDM) / Clinical Data Standardization,R&D and Engineering,R&D and Engineering / Clinical Research / Data Management
Clinical Data Transformation,~Biostatistics and Data Management (BDM) / Clinical Data Transformation,R&D and Engineering,R&D and Engineering / Clinical Research / Data Management
Clinical Data Visualization,~Biostatistics and Data Management (BDM) / Clinical Data Visualization,R&D and Engineering,R&D and Engineering / Clinical Research / Data Management
Clinical Database Lock,~Biostatistics and Data Management (BDM) / Clinical Database Lock,R&D and Engineering,R&D and Engineering / Clinical Research / Data Management
Clinical Database Validation,~Biostatistics and Data Management (BDM) / Clinical Database Validation,R&D and Engineering,R&D and Engineering / Clinical Research / Data Management
Clinical Listings and Tables,~Biostatistics and Data Management (BDM) / Clinical Listings and Tables,R&D and Engineering,R&D and Engineering / Clinical Research / Biostatistics
Clinical Statistical Analysis,~Biostatistics and Data Management (BDM) / Clinical Statistical Analysis,R&D and Engineering,R&D and Engineering / Clinical Research / Biostatistics
Clinical Trial Randomization,~Biostatistics and Data Management (BDM) / Clinical Trial Randomization,R&D and Engineering,R&D and Engineering / Clinical Research / Biostatistics
Clinical Trial Unblinding,~Biostatistics and Data Management (BDM) / Clinical Trial Unblinding,R&D and Engineering,R&D and Engineering / Clinical Research / Biostatistics
Data Analysis Plan Development,~Biostatistics and Data Management (BDM) / Data Analysis Plan Development,R&D and Engineering,R&D and Engineering / Clinical Research / Biostatistics
Data Management Plan Development,~Biostatistics and Data Management (BDM) / Data Management Plan Development,R&D and Engineering,R&D and Engineering / Clinical Research / Data Management
DMC Support,~Biostatistics and Data Management (BDM) / DMC Support,R&D and Engineering,R&D and Engineering / Clinical Research / Committee Management
Exploratory Data Analysis,~Biostatistics and Data Management (BDM) / Exploratory Data Analysis,R&D and Engineering,R&D and Engineering / Clinical Research / Biostatistics
Interim Analysis,~Biostatistics and Data Management (BDM) / Interim Analysis,R&D and Engineering,R&D and Engineering / Clinical Research / Biostatistics
Medical Coding,~Biostatistics and Data Management (BDM) / Medical Coding,R&D and Engineering,R&D and Engineering / Clinical Research / Data Management
Post-hoc Analysis,~Biostatistics and Data Management (BDM) / Post-hoc Analysis,R&D and Engineering,R&D and Engineering / Clinical Research / Biostatistics
Real World Data Analysis,~Biostatistics and Data Management (BDM) / Real World Data Analysis,R&D and Engineering,R&D and Engineering / Clinical Research / Real World Evidence
Study Data Standards,~Biostatistics and Data Management (BDM) / Study Data Standards,R&D and Engineering,R&D and Engineering / Clinical Research / Standards
~Development Operations & Portfolio Management (DO & PM),~Development Operations & Portfolio Management (DO & PM),Portfolio and Project Management,Portfolio and Project Management / Portfolio Management
DO PM Clinical Development,~Development Operations & Portfolio Management (DO & PM) / DO PM Clinical Development,Portfolio and Project Management,Portfolio and Project Management / Project Management
Clinical Materials Management,~Development Operations & Portfolio Management (DO & PM) / DO PM Clinical Development / Clinical Materials Management,Portfolio and Project Management,Portfolio and Project Management / Project Management
Clinical Operations Management,~Development Operations & Portfolio Management (DO & PM) / DO PM Clinical Development / Clinical Operations Management,Portfolio and Project Management,Portfolio and Project Management / Project Management
Clinical Quality Assurance,~Development Operations & Portfolio Management (DO & PM) / DO PM Clinical Development / Clinical Quality Assurance,Portfolio and Project Management,Portfolio and Project Management / Project Management
Clinical Research,~Development Operations & Portfolio Management (DO & PM) / DO PM Clinical Development / Clinical Research,Portfolio and Project Management,Portfolio and Project Management / Project Management
Clinical Trial Design,~Development Operations & Portfolio Management (DO & PM) / DO PM Clinical Development / Clinical Trial Design,Portfolio and Project Management,Portfolio and Project Management / Project Management
Clinical Trial Execution,~Development Operations & Portfolio Management (DO & PM) / DO PM Clinical Development / Clinical Trial Execution,Portfolio and Project Management,Portfolio and Project Management / Project Management
Clinical Trial Monitoring,~Development Operations & Portfolio Management (DO & PM) / DO PM Clinical Development / Clinical Trial Monitoring,Portfolio and Project Management,Portfolio and Project Management / Project Management
Clinical Trial Oversight,~Development Operations & Portfolio Management (DO & PM) / DO PM Clinical Development / Clinical Trial Oversight,Portfolio and Project Management,Portfolio and Project Management / Project Management
Clinical Trial Planning,~Development Operations & Portfolio Management (DO & PM) / DO PM Clinical Development / Clinical Trial Planning,Portfolio and Project Management,Portfolio and Project Management / Project Management
Clinical Trial Protocol Development,~Development Operations & Portfolio Management (DO & PM) / DO PM Clinical Development / Clinical Trial Protocol Development,Portfolio and Project Management,Portfolio and Project Management / Project Management
Clinical Trial Site Management,~Development Operations & Portfolio Management (DO & PM) / DO PM Clinical Development / Clinical Trial Site Management,Portfolio and Project Management,Portfolio and Project Management / Project Management
Investigator Management,~Development Operations & Portfolio Management (DO & PM) / DO PM Clinical Development / Investigator Management,Portfolio and Project Management,Portfolio and Project Management / Project Management
Patient Recruitment,~Development Operations & Portfolio Management (DO & PM) / DO PM Clinical Development / Patient Recruitment,Portfolio and Project Management,Portfolio and Project Management / Project Management
Patient Retention,~Development Operations & Portfolio Management (DO & PM) / DO PM Clinical Development / Patient Retention,Portfolio and Project Management,Portfolio and Project Management / Project Management
Protocol Amendment Management,~Development Operations & Portfolio Management (DO & PM) / DO PM Clinical Development / Protocol Amendment Management,Portfolio and Project Management,Portfolio and Project Management / Project Management
Protocol Deviation Management,~Development Operations & Portfolio Management (DO & PM) / DO PM Clinical Development / Protocol Deviation Management,Portfolio and Project Management,Portfolio and Project Management / Project Management
DO PM Portfolio Management,~Development Operations & Portfolio Management (DO & PM) / DO PM Portfolio Management,Portfolio and Project Management,Portfolio and Project Management / Portfolio Management
Portfolio Analysis,~Development Operations & Portfolio Management (DO & PM) / DO PM Portfolio Management / Portfolio Analysis,Portfolio and Project Management,Portfolio and Project Management / Portfolio Management
Portfolio Decision-Making Support,~Development Operations & Portfolio Management (DO & PM) / DO PM Portfolio Management / Portfolio Decision-Making Support,Portfolio and Project Management,Portfolio and Project Management / Portfolio Management
Portfolio Optimization,~Development Operations & Portfolio Management (DO & PM) / DO PM Portfolio Management / Portfolio Optimization,Portfolio and Project Management,Portfolio and Project Management / Portfolio Management
Portfolio Planning,~Development Operations & Portfolio Management (DO & PM) / DO PM Portfolio Management / Portfolio Planning,Portfolio and Project Management,Portfolio and Project Management / Portfolio Management
Portfolio Prioritization,~Development Operations & Portfolio Management (DO & PM) / DO PM Portfolio Management / Portfolio Prioritization,Portfolio and Project Management,Portfolio and Project Management / Portfolio Management
Portfolio Reporting,~Development Operations & Portfolio Management (DO & PM) / DO PM Portfolio Management / Portfolio Reporting,Portfolio and Project Management,Portfolio and Project Management / Portfolio Management
Portfolio Resource Allocation,~Development Operations & Portfolio Management (DO & PM) / DO PM Portfolio Management / Portfolio Resource Allocation,Portfolio and Project Management,Portfolio and Project Management / Portfolio Management
Portfolio Risk Management,~Development Operations & Portfolio Management (DO & PM) / DO PM Portfolio Management / Portfolio Risk Management,Portfolio and Project Management,Portfolio and Project Management / Portfolio Management
Strategic Portfolio Management,~Development Operations & Portfolio Management (DO & PM) / DO PM Portfolio Management / Strategic Portfolio Management,Portfolio and Project Management,Portfolio and Project Management / Portfolio Management
~Early Clinical Development (ECD),~Early Clinical Development (ECD),R&D and Engineering,R&D and Engineering / Clinical Development
ECD Administration and Logistics,~Early Clinical Development (ECD) / ECD Administration and Logistics,R&D and Engineering,R&D and Engineering / Clinical Development / Clinical Operations
ECD Clinical Development,~Early Clinical Development (ECD) / ECD Clinical Development,R&D and Engineering,R&D and Engineering / Clinical Development
ECD Clinical Operations,~Early Clinical Development (ECD) / ECD Clinical Operations,R&D and Engineering,R&D and Engineering / Clinical Development / Clinical Operations
ECD Clinical Pharmacology,~Early Clinical Development (ECD) / ECD Clinical Pharmacology,R&D and Engineering,R&D and Engineering / Clinical Development / Clinical Pharmacology
ECD First in Human Studies,~Early Clinical Development (ECD) / ECD First in Human Studies,R&D and Engineering,R&D and Engineering / Clinical Development / Early Phase Studies
ECD Phase 1 Studies,~Early Clinical Development (ECD) / ECD Phase 1 Studies,R&D and Engineering,R&D and Engineering / Clinical Development / Early Phase Studies
ECD Phase 2a Studies,~Early Clinical Development (ECD) / ECD Phase 2a Studies,R&D and Engineering,R&D and Engineering / Clinical Development / Mid Phase Studies
ECD Pre-clinical Research,~Early Clinical Development (ECD) / ECD Pre-clinical Research,R&D and Engineering,R&D and Engineering / Research / Preclinical Development
ECD Protocol Development,~Early Clinical Development (ECD) / ECD Protocol Development,R&D and Engineering,R&D and Engineering / Clinical Development / Protocol Development
ECD Study Management,~Early Clinical Development (ECD) / ECD Study Management,R&D and Engineering,R&D and Engineering / Clinical Development / Study Management
ECD Translational Medicine,~Early Clinical Development (ECD) / ECD Translational Medicine,R&D and Engineering,R&D and Engineering / Research / Translational Medicine
Exploratory Development,~Early Clinical Development (ECD) / Exploratory Development,R&D and Engineering,R&D and Engineering / Clinical Development / Early Phase Studies
Human Pharmacology,~Early Clinical Development (ECD) / Human Pharmacology,R&D and Engineering,R&D and Engineering / Clinical Development / Clinical Pharmacology
Investigational New Drug (IND) Application,~Early Clinical Development (ECD) / Investigational New Drug (IND) Application,R&D and Engineering,R&D and Engineering / Regulatory Management / Regulatory Submissions
Pharmacodynamics,~Early Clinical Development (ECD) / Pharmacodynamics,R&D and Engineering,R&D and Engineering / Clinical Development / Clinical Pharmacology
Pharmacokinetics,~Early Clinical Development (ECD) / Pharmacokinetics,R&D and Engineering,R&D and Engineering / Clinical Development / Clinical Pharmacology
Proof of Concept Studies,~Early Clinical Development (ECD) / Proof of Concept Studies,R&D and Engineering,R&D and Engineering / Clinical Development / Early Phase Studies
~GD Quality Operations (GDQ),~GD Quality Operations (GDQ),R&D and Engineering,R&D and Engineering / Quality Management
GDQ Audit Management,~GD Quality Operations (GDQ) / GDQ Audit Management,R&D and Engineering,R&D and Engineering / Quality Management / Audit Management
GDQ Batch Record Review,~GD Quality Operations (GDQ) / GDQ Batch Record Review,R&D and Engineering,R&D and Engineering / Quality Management / Documentation Management
GDQ Compliance Management,~GD Quality Operations (GDQ) / GDQ Compliance Management,R&D and Engineering,R&D and Engineering / Quality Management / Compliance Management
GDQ Document Control,~GD Quality Operations (GDQ) / GDQ Document Control,R&D and Engineering,R&D and Engineering / Quality Management / Documentation Management
GDQ Good Clinical Practice (GCP),~GD Quality Operations (GDQ) / GDQ Good Clinical Practice (GCP),R&D and Engineering,R&D and Engineering / Quality Management / GCP Management
GDQ Good Laboratory Practice (GLP),~GD Quality Operations (GDQ) / GDQ Good Laboratory Practice (GLP),R&D and Engineering,R&D and Engineering / Quality Management / GLP Management
GDQ Good Manufacturing Practice (GMP),~GD Quality Operations (GDQ) / GDQ Good Manufacturing Practice (GMP),R&D and Engineering,R&D and Engineering / Quality Management / GMP Management
GDQ Good Pharmacovigilance Practice (GVP),~GD Quality Operations (GDQ) / GDQ Good Pharmacovigilance Practice (GVP),R&D and Engineering,R&D and Engineering / Quality Management / GVP Management
GDQ Inspection Management,~GD Quality Operations (GDQ) / GDQ Inspection Management,R&D and Engineering,R&D and Engineering / Quality Management / Inspection Management
GDQ Lab Operations,~GD Quality Operations (GDQ) / GDQ Lab Operations,R&D and Engineering,R&D and Engineering / Quality Management / Laboratory Management
GDQ Quality Assurance,~GD Quality Operations (GDQ) / GDQ Quality Assurance,R&D and Engineering,R&D and Engineering / Quality Management / Quality Assurance
GDQ Quality Control,~GD Quality Operations (GDQ) / GDQ Quality Control,R&D and Engineering,R&D and Engineering / Quality Management / Quality Control
GDQ Quality Management System,~GD Quality Operations (GDQ) / GDQ Quality Management System,R&D and Engineering,R&D and Engineering / Quality Management / Quality Management System
GDQ Quality Risk Management,~GD Quality Operations (GDQ) / GDQ Quality Risk Management,R&D and Engineering,R&D and Engineering / Quality Management / Quality Risk Management
GDQ Regulatory Compliance,~GD Quality Operations (GDQ) / GDQ Regulatory Compliance,R&D and Engineering,R&D and Engineering / Quality Management / Compliance Management
GDQ Training Management,~GD Quality Operations (GDQ) / GDQ Training Management,R&D and Engineering,R&D and Engineering / Quality Management / Training Management
GDQ Validation Management,~GD Quality Operations (GDQ) / GDQ Validation Management,R&D and Engineering,R&D and Engineering / Quality Management / Validation Management
~Global Medical Affairs (GMA),~Global Medical Affairs (GMA),R&D and Engineering,R&D and Engineering / Medical Affairs
GMA Advisory Board Management,~Global Medical Affairs (GMA) / GMA Advisory Board Management,R&D and Engineering,R&D and Engineering / Medical Affairs / Advisory Boards
GMA Clinical Development Support,~Global Medical Affairs (GMA) / GMA Clinical Development Support,R&D and Engineering,R&D and Engineering / Medical Affairs / Clinical Support
GMA Continuing Medical Education,~Global Medical Affairs (GMA) / GMA Continuing Medical Education,R&D and Engineering,R&D and Engineering / Medical Affairs / Medical Education
GMA Healthcare Professional Engagement,~Global Medical Affairs (GMA) / GMA Healthcare Professional Engagement,R&D and Engineering,R&D and Engineering / Medical Affairs / KOL Management
GMA Health Economics and Outcomes Research,~Global Medical Affairs (GMA) / GMA Health Economics and Outcomes Research,R&D and Engineering,R&D and Engineering / Medical Affairs / Health Economics
GMA Key Opinion Leader Management,~Global Medical Affairs (GMA) / GMA Key Opinion Leader Management,R&D and Engineering,R&D and Engineering / Medical Affairs / KOL Management
GMA Literature Review,~Global Medical Affairs (GMA) / GMA Literature Review,R&D and Engineering,R&D and Engineering / Medical Affairs / Scientific Communication
GMA Market Access Support,~Global Medical Affairs (GMA) / GMA Market Access Support,R&D and Engineering,R&D and Engineering / Medical Affairs / Market Access
GMA Medical Communications,~Global Medical Affairs (GMA) / GMA Medical Communications,R&D and Engineering,R&D and Engineering / Medical Affairs / Medical Communication
GMA Medical Education,~Global Medical Affairs (GMA) / GMA Medical Education,R&D and Engineering,R&D and Engineering / Medical Affairs / Medical Education
GMA Medical Information,~Global Medical Affairs (GMA) / GMA Medical Information,R&D and Engineering,R&D and Engineering / Medical Affairs / Medical Information
GMA Medical Strategy,~Global Medical Affairs (GMA) / GMA Medical Strategy,R&D and Engineering,R&D and Engineering / Medical Affairs / Medical Strategy
GMA Medical Writing,~Global Medical Affairs (GMA) / GMA Medical Writing,R&D and Engineering,R&D and Engineering / Medical Affairs / Medical Writing
GMA Publications Management,~Global Medical Affairs (GMA) / GMA Publications Management,R&D and Engineering,R&D and Engineering / Medical Affairs / Publication Management
GMA Real World Evidence,~Global Medical Affairs (GMA) / GMA Real World Evidence,R&D and Engineering,R&D and Engineering / Medical Affairs / Real World Evidence
GMA Scientific Communications,~Global Medical Affairs (GMA) / GMA Scientific Communications,R&D and Engineering,R&D and Engineering / Medical Affairs / Scientific Communication
GMA Scientific Exchange,~Global Medical Affairs (GMA) / GMA Scientific Exchange,R&D and Engineering,R&D and Engineering / Medical Affairs / Scientific Exchange
GMA Thought Leader Engagement,~Global Medical Affairs (GMA) / GMA Thought Leader Engagement,R&D and Engineering,R&D and Engineering / Medical Affairs / KOL Management
~Global Patient Safety (GPS),~Global Patient Safety (GPS),R&D and Engineering,R&D and Engineering / Pharmacovigilance
GPS Adverse Event Processing,~Global Patient Safety (GPS) / GPS Adverse Event Processing,R&D and Engineering,R&D and Engineering / Pharmacovigilance / Adverse Event Management
GPS Aggregate Reporting,~Global Patient Safety (GPS) / GPS Aggregate Reporting,R&D and Engineering,R&D and Engineering / Pharmacovigilance / Aggregate Reporting
GPS Benefit-Risk Assessment,~Global Patient Safety (GPS) / GPS Benefit-Risk Assessment,R&D and Engineering,R&D and Engineering / Pharmacovigilance / Risk Management
GPS Case Management,~Global Patient Safety (GPS) / GPS Case Management,R&D and Engineering,R&D and Engineering / Pharmacovigilance / Case Management
GPS Case Processing,~Global Patient Safety (GPS) / GPS Case Processing,R&D and Engineering,R&D and Engineering / Pharmacovigilance / Case Processing
GPS Compliance Management,~Global Patient Safety (GPS) / GPS Compliance Management,R&D and Engineering,R&D and Engineering / Pharmacovigilance / Compliance Management
GPS Data Management,~Global Patient Safety (GPS) / GPS Data Management,R&D and Engineering,R&D and Engineering / Pharmacovigilance / Data Management
GPS Drug Safety Surveillance,~Global Patient Safety (GPS) / GPS Drug Safety Surveillance,R&D and Engineering,R&D and Engineering / Pharmacovigilance / Safety Surveillance
GPS Literature Monitoring,~Global Patient Safety (GPS) / GPS Literature Monitoring,R&D and Engineering,R&D and Engineering / Pharmacovigilance / Literature Monitoring
GPS Medical Assessment,~Global Patient Safety (GPS) / GPS Medical Assessment,R&D and Engineering,R&D and Engineering / Pharmacovigilance / Medical Assessment
GPS Medical Review,~Global Patient Safety (GPS) / GPS Medical Review,R&D and Engineering,R&D and Engineering / Pharmacovigilance / Medical Review
GPS Patient Support Programs,~Global Patient Safety (GPS) / GPS Patient Support Programs,R&D and Engineering,R&D and Engineering / Pharmacovigilance / Patient Programs
GPS Pharmacovigilance Planning,~Global Patient Safety (GPS) / GPS Pharmacovigilance Planning,R&D and Engineering,R&D and Engineering / Pharmacovigilance / PV Planning
GPS Pharmacovigilance System Management,~Global Patient Safety (GPS) / GPS Pharmacovigilance System Management,R&D and Engineering,R&D and Engineering / Pharmacovigilance / PV System Management
GPS Post-Marketing Surveillance,~Global Patient Safety (GPS) / GPS Post-Marketing Surveillance,R&D and Engineering,R&D and Engineering / Pharmacovigilance / Post-Marketing Surveillance
GPS Pregnancy Surveillance,~Global Patient Safety (GPS) / GPS Pregnancy Surveillance,R&D and Engineering,R&D and Engineering / Pharmacovigilance / Special Surveillance
GPS Quality Management,~Global Patient Safety (GPS) / GPS Quality Management,R&D and Engineering,R&D and Engineering / Pharmacovigilance / Quality Management
GPS Regulatory Reporting,~Global Patient Safety (GPS) / GPS Regulatory Reporting,R&D and Engineering,R&D and Engineering / Pharmacovigilance / Regulatory Reporting
GPS Risk Management,~Global Patient Safety (GPS) / GPS Risk Management,R&D and Engineering,R&D and Engineering / Pharmacovigilance / Risk Management
GPS Signal Detection,~Global Patient Safety (GPS) / GPS Signal Detection,R&D and Engineering,R&D and Engineering / Pharmacovigilance / Signal Detection
GPS Signal Evaluation,~Global Patient Safety (GPS) / GPS Signal Evaluation,R&D and Engineering,R&D and Engineering / Pharmacovigilance / Signal Management
GPS Signal Validation,~Global Patient Safety (GPS) / GPS Signal Validation,R&D and Engineering,R&D and Engineering / Pharmacovigilance / Signal Management
GPS Special Situation Reports,~Global Patient Safety (GPS) / GPS Special Situation Reports,R&D and Engineering,R&D and Engineering / Pharmacovigilance / Special Reporting
GPS Training Management,~Global Patient Safety (GPS) / GPS Training Management,R&D and Engineering,R&D and Engineering / Pharmacovigilance / Training Management
~Regulatory,~Regulatory,R&D and Engineering,R&D and Engineering / Regulatory Management
Advertising and Promotion Review,~Regulatory / Advertising and Promotion Review,R&D and Engineering,R&D and Engineering / Regulatory Management / Promotional Review
"Chemistry, Manufacturing and Controls (CMC)","~Regulatory / Chemistry, Manufacturing and Controls (CMC)",R&D and Engineering,R&D and Engineering / Regulatory Management / CMC
Clinical Trial Applications,~Regulatory / Clinical Trial Applications,R&D and Engineering,R&D and Engineering / Regulatory Management / Regulatory Submissions
Compassionate Use Programs,~Regulatory / Compassionate Use Programs,R&D and Engineering,R&D and Engineering / Regulatory Management / Expanded Access
Global Regulatory Strategy,~Regulatory / Global Regulatory Strategy,R&D and Engineering,R&D and Engineering / Regulatory Management / Regulatory Strategy
Health Authority Interactions,~Regulatory / Health Authority Interactions,R&D and Engineering,R&D and Engineering / Regulatory Management / Health Authority Management
Labeling Management,~Regulatory / Labeling Management,R&D and Engineering,R&D and Engineering / Regulatory Management / Labeling Management
Marketing Authorization Applications,~Regulatory / Marketing Authorization Applications,R&D and Engineering,R&D and Engineering / Regulatory Management / Regulatory Submissions
Marketing Authorization Maintenance,~Regulatory / Marketing Authorization Maintenance,R&D and Engineering,R&D and Engineering / Regulatory Management / License Maintenance
Orphan Drug Designation,~Regulatory / Orphan Drug Designation,R&D and Engineering,R&D and Engineering / Regulatory Management / Special Designations
Pediatric Investigation Plans,~Regulatory / Pediatric Investigation Plans,R&D and Engineering,R&D and Engineering / Regulatory Management / Pediatric Studies
Post-Approval Commitments,~Regulatory / Post-Approval Commitments,R&D and Engineering,R&D and Engineering / Regulatory Management / Post-Approval Management
Regulatory Agency Meetings,~Regulatory / Regulatory Agency Meetings,R&D and Engineering,R&D and Engineering / Regulatory Management / Health Authority Management
Regulatory Compliance,~Regulatory / Regulatory Compliance,R&D and Engineering,R&D and Engineering / Regulatory Management / Regulatory Compliance
Regulatory Document Management,~Regulatory / Regulatory Document Management,R&D and Engineering,R&D and Engineering / Regulatory Management / Document Management
Regulatory Information Management,~Regulatory / Regulatory Information Management,R&D and Engineering,R&D and Engineering / Regulatory Management / Regulatory Information
Regulatory Intelligence,~Regulatory / Regulatory Intelligence,R&D and Engineering,R&D and Engineering / Regulatory Management / Regulatory Intelligence
Regulatory Submissions,~Regulatory / Regulatory Submissions,R&D and Engineering,R&D and Engineering / Regulatory Management / Regulatory Submissions
